event_date,code,market,status_type,status_value,source,source_url,raw_path,confidence,notes
2026-03-24,183490,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=엔지켐생명과학; 지정사유=상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ
2026-03-24,195990,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=루트K; 지정사유=자본잠식률 50% 이상; market_enrichment=market_data_join:KOSDAQ
2026-03-24,214610,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=롤링스톤; 지정사유=상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ
2026-03-24,380540,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=옵티코어; 지정사유=상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ
2026-03-25,246720,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=아스타; 지정사유=상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ
2026-03-26,238170,UNKNOWN,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=엔에스엠; 폐지사유=피흡수합병
2026-03-27,064090,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=인크레더블버즈; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ"
2026-03-30,008110,KOSPI,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=대동전자; 폐지사유=감사범위제한으로인한 감사의견한정 2년 계속; market_enrichment=market_data_join:KOSPI
2026-04-01,313760,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=캐리; 지정사유=상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ
2026-04-02,001840,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=이화공영; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ"
