date,code,stock_name,market,signal_state,horizon_trading_days,evaluation_status,forward_date,signal_close,forward_close,raw_forward_return_pct,directional_forward_score_pct,source_strategy,signal_mode,evaluation_mode
2025-02-04,310210,보로노이,KOSDAQ,BUY candidate,5,complete,2025-02-11,94000.0000,115100.0000,22.4468,22.4468,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,033160,엠케이전자,KOSDAQ,BUY candidate,1,complete,2025-02-05,8940.0000,9350.0000,4.5861,4.5861,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,033160,엠케이전자,KOSDAQ,BUY candidate,5,complete,2025-02-11,8940.0000,8540.0000,-4.4743,-4.4743,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,315640,딥노이드,KOSDAQ,BUY candidate,1,complete,2025-02-05,7700.0000,7890.0000,2.4675,2.4675,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,315640,딥노이드,KOSDAQ,BUY candidate,5,complete,2025-02-11,7700.0000,7890.0000,2.4675,2.4675,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,219550,디와이디,KOSDAQ,BUY candidate,1,complete,2025-02-05,744.0000,790.0000,6.1828,6.1828,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,219550,디와이디,KOSDAQ,BUY candidate,5,complete,2025-02-11,744.0000,780.0000,4.8387,4.8387,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,416180,신성에스티,KOSDAQ,BUY candidate,1,complete,2025-02-05,37450.0000,38300.0000,2.2697,2.2697,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,416180,신성에스티,KOSDAQ,BUY candidate,5,complete,2025-02-11,37450.0000,36050.0000,-3.7383,-3.7383,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,381620,제닉스,KOSDAQ,SELL candidate,1,complete,2025-02-05,8750.0000,9600.0000,9.7143,-9.7143,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,381620,제닉스,KOSDAQ,SELL candidate,5,complete,2025-02-11,8750.0000,10570.0000,20.8000,-20.8000,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,064960,SNT모티브,KOSPI,SELL candidate,1,complete,2025-02-05,26000.0000,25650.0000,-1.3462,1.3462,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,064960,SNT모티브,KOSPI,SELL candidate,5,complete,2025-02-11,26000.0000,26450.0000,1.7308,-1.7308,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,065650,하이퍼코퍼레이션,KOSDAQ,SELL candidate,1,complete,2025-02-05,686.0000,518.0000,-24.4898,24.4898,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
