code,name,market,security_type,listing_date,listing_age_calendar_days,base_status,base_reason,status,reason,avg_trading_value_20d_krw,liquidity_filter_status,liquidity_filter_reason,liquidity_rows_available,liquidity_rows_used,liquidity_latest_date,liquidity_raw_path
043710,코스리거글로벌,KOSDAQ,보통주,2002/07/11,8738,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
043910,자연과환경,KOSDAQ,보통주,2005/11/18,7512,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
044180,KD,KOSDAQ,보통주,2000/11/16,9340,exclude,managed_issue_current,exclude,managed_issue_current,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
044340,위닉스,KOSDAQ,보통주,2000/10/24,9363,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
044380,주연테크,KOSPI,보통주,2006/11/15,7150,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
044450,KSS해운,KOSPI,보통주,2007/10/26,6805,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
044480,빌리언스,KOSDAQ,보통주,2001/01/11,9284,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
044490,태웅,KOSDAQ,보통주,2001/11/08,8983,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
044780,에이치케이,KOSDAQ,보통주,2000/09/07,9410,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
044820,코스맥스비티아이,KOSPI,보통주,2006/11/13,7152,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
044960,이글벳,KOSDAQ,보통주,2000/11/16,9340,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
044990,에이치엔에스하이텍,KOSDAQ,보통주,2024/10/25,596,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
