date,code,stock_name,market,target_side,target_weight,rank_in_portfolio,source_signal_state,source_rank_in_date_state,source_roc_pct,source_strategy,source_signal_mode,portfolio_mode,target_mode,order_intent_generated
2025-04-02,066430,와이오엠,KOSDAQ,LONG,0.050000,13,BUY candidate,13,28.4585,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-02,015020,이스타코,KOSPI,LONG,0.050000,14,BUY candidate,14,28.4345,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-02,012170,아센디오,KOSPI,LONG,0.050000,15,BUY candidate,15,28.3099,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-02,047770,코데즈컴바인,KOSDAQ,LONG,0.050000,16,BUY candidate,16,27.5272,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-02,053290,NE능률,KOSDAQ,LONG,0.050000,17,BUY candidate,17,24.7573,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-02,088340,유라클,KOSDAQ,LONG,0.050000,18,BUY candidate,18,23.1897,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-02,313760,캐리,KOSDAQ,LONG,0.050000,19,BUY candidate,19,22.0039,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-02,069920,엑시온그룹,KOSDAQ,LONG,0.050000,20,BUY candidate,20,21.4286,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,308100,형지글로벌,KOSDAQ,LONG,0.050000,1,BUY candidate,1,184.8901,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,011080,형지I&C,KOSDAQ,LONG,0.050000,2,BUY candidate,2,128.8000,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,008600,윌비스,KOSPI,LONG,0.050000,3,BUY candidate,3,92.0000,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,011090,에넥스,KOSPI,LONG,0.050000,4,BUY candidate,4,74.2857,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,001000,신라섬유,KOSDAQ,LONG,0.050000,5,BUY candidate,5,56.9350,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,088340,유라클,KOSDAQ,LONG,0.050000,6,BUY candidate,6,54.8791,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,388720,유일로보틱스,KOSDAQ,LONG,0.050000,7,BUY candidate,7,52.3026,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,476060,온코닉테라퓨틱스,KOSDAQ,LONG,0.050000,8,BUY candidate,8,47.0920,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,053580,웹케시,KOSDAQ,LONG,0.050000,9,BUY candidate,9,42.3660,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,065500,오리엔트정공,KOSDAQ,LONG,0.050000,10,BUY candidate,10,40.0000,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,435570,에르코스,KOSDAQ,LONG,0.050000,11,BUY candidate,11,39.1705,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,475460,미트박스,KOSDAQ,LONG,0.050000,12,BUY candidate,12,38.4693,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,002070,비비안,KOSPI,LONG,0.050000,13,BUY candidate,13,35.6164,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
