date,market_rows,unique_codes,event_codes_present,rows_with_event_code,rows_without_event_code,rows_with_applied_status_event,rows_excluded_by_status_event,event_code_row_ratio,applied_status_event_row_ratio,status_exclusion_row_ratio,coverage_status,coverage_notes
2025-01-20,2744,2744,264,264,2480,17,17,0.096210,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-21,2744,2744,264,264,2480,17,17,0.096210,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-22,2744,2744,264,264,2480,17,17,0.096210,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-23,2746,2746,264,264,2482,17,17,0.096140,0.006191,0.006191,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-24,2749,2749,264,264,2485,17,17,0.096035,0.006184,0.006184,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-31,2749,2749,264,264,2485,17,17,0.096035,0.006184,0.006184,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-03,2750,2750,264,264,2486,17,17,0.096000,0.006182,0.006182,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-04,2751,2751,264,264,2487,17,17,0.095965,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-05,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-06,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-07,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-10,2751,2751,264,264,2487,17,17,0.095965,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-11,2750,2750,264,264,2486,17,17,0.096000,0.006182,0.006182,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-12,2751,2751,264,264,2487,17,17,0.095965,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-13,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-14,2751,2751,264,264,2487,17,17,0.095965,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-17,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-18,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-19,2751,2751,264,264,2487,17,17,0.095965,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-20,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-21,2751,2751,264,264,2487,17,17,0.095965,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-24,2751,2751,264,264,2487,17,17,0.095965,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-25,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-26,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-27,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-02-28,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-04,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-05,2752,2752,264,264,2488,17,17,0.095930,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-06,2753,2753,265,265,2488,17,17,0.096259,0.006175,0.006175,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-07,2753,2753,265,265,2488,17,17,0.096259,0.006175,0.006175,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-10,2753,2753,265,265,2488,17,17,0.096259,0.006175,0.006175,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-11,2753,2753,265,265,2488,17,17,0.096259,0.006175,0.006175,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-12,2753,2753,265,265,2488,17,17,0.096259,0.006175,0.006175,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-13,2753,2753,265,265,2488,17,17,0.096259,0.006175,0.006175,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-14,2754,2754,265,265,2489,18,18,0.096224,0.006536,0.006536,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-17,2754,2754,265,265,2489,19,19,0.096224,0.006899,0.006899,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-18,2754,2754,265,265,2489,19,19,0.096224,0.006899,0.006899,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-19,2754,2754,265,265,2489,19,19,0.096224,0.006899,0.006899,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-20,2757,2757,265,265,2492,19,19,0.096119,0.006892,0.006892,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-21,2758,2758,265,265,2493,22,22,0.096084,0.007977,0.007977,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-24,2759,2759,265,265,2494,31,31,0.096049,0.011236,0.011236,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-25,2759,2759,265,265,2494,32,32,0.096049,0.011598,0.011598,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-26,2759,2759,265,265,2494,33,33,0.096049,0.011961,0.011961,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-27,2759,2759,265,265,2494,33,33,0.096049,0.011961,0.011961,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-28,2758,2758,265,265,2493,33,33,0.096084,0.011965,0.011965,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-03-31,2757,2757,265,265,2492,33,33,0.096119,0.011970,0.011970,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-01,2756,2756,265,265,2491,35,35,0.096154,0.012700,0.012700,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-02,2756,2756,265,265,2491,36,36,0.096154,0.013062,0.013062,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-03,2757,2757,265,265,2492,36,36,0.096119,0.013058,0.013058,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-04,2757,2757,265,265,2492,36,36,0.096119,0.013058,0.013058,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-07,2757,2757,265,265,2492,38,38,0.096119,0.013783,0.013783,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-08,2757,2757,265,265,2492,41,41,0.096119,0.014871,0.014871,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-09,2757,2757,265,265,2492,41,41,0.096119,0.014871,0.014871,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-10,2757,2757,265,265,2492,41,41,0.096119,0.014871,0.014871,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-11,2757,2757,265,265,2492,43,43,0.096119,0.015597,0.015597,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-14,2757,2757,265,265,2492,43,43,0.096119,0.015597,0.015597,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-15,2757,2757,265,265,2492,43,43,0.096119,0.015597,0.015597,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-16,2757,2757,265,265,2492,43,43,0.096119,0.015597,0.015597,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-17,2757,2757,265,265,2492,43,43,0.096119,0.015597,0.015597,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-04-18,2757,2757,265,265,2492,43,43,0.096119,0.015597,0.015597,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
