date,code,stock_name,market,horizon_trading_days,evaluation_status,forward_date,target_side,target_weight,raw_forward_return_pct,weighted_return_contribution_pct,benchmark_label,benchmark_join_status,benchmark_return_pct,excess_return_pct,weighted_excess_return_contribution_pct,source_signal_state,target_mode,pnl_mode,order_intent_generated
2025-02-05,351320,에스에이티이엔지,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-7.4627,-0.3731,KOSPI,complete,1.0951,-8.5578,-0.4279,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,010100,한국무브넥스,KOSPI,1,complete,2025-02-06,LONG,0.050000,3.6932,0.1847,KOSPI,complete,1.0951,2.5981,0.1299,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,301300,바이브컴퍼니,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.5908,0.0295,KOSPI,complete,1.0951,-0.5043,-0.0252,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,300080,플리토,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-7.8394,-0.3920,KOSPI,complete,1.0951,-8.9345,-0.4467,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,160190,하이젠알앤엠,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.1190,0.0060,KOSPI,complete,1.0951,-0.9761,-0.0488,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,051630,진양화학,KOSPI,1,complete,2025-02-06,LONG,0.050000,-5.2536,-0.2627,KOSPI,complete,1.0951,-6.3487,-0.3174,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,277810,레인보우로보틱스,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.9434,0.0472,KOSPI,complete,1.0951,-0.1517,-0.0076,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,101000,KS인더스트리,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-1.1583,-0.0579,KOSPI,complete,1.0951,-2.2534,-0.1127,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,304100,솔트룩스,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.0000,0.0000,KOSPI,complete,1.0951,-1.0951,-0.0548,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,042000,카페24,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.1779,0.0089,KOSPI,complete,1.0951,-0.9172,-0.0459,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,067160,SOOP,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,10.6401,0.5320,KOSPI,complete,1.0951,9.5450,0.4773,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,382150,온코크로스,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,29.9205,1.4960,KOSPI,complete,1.0951,28.8254,1.4413,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,402030,코난테크놀로지,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-2.1201,-0.1060,KOSPI,complete,1.0951,-3.2152,-0.1608,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
