date,code,stock_name,market,close,signal_state,roc_pct,lookback,rank_in_date_state,source_strategy,signal_mode,pit_liquidity_final_status
2025-01-15,028080,휴맥스홀딩스,KOSDAQ,3595,BUY candidate,42.3762,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,008730,율촌화학,KOSPI,30300,BUY candidate,40.6032,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,160190,하이젠알앤엠,KOSDAQ,23000,BUY candidate,39.3939,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,017510,세명전기,KOSDAQ,6630,BUY candidate,38.2690,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,147830,제룡산업,KOSDAQ,7740,BUY candidate,36.7491,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,073190,듀오백,KOSDAQ,2525,BUY candidate,33.8103,5,9,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,363260,모비데이즈,KOSDAQ,2390,BUY candidate,32.7041,5,10,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,006340,대원전선,KOSPI,4000,BUY candidate,31.7957,5,11,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,025750,한솔홈데코,KOSPI,928,BUY candidate,30.7042,5,12,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,019660,글로본,KOSDAQ,786,BUY candidate,29.7030,5,13,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,457550,우진엔텍,KOSDAQ,19810,BUY candidate,29.5618,5,14,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,452190,한빛레이저,KOSDAQ,4260,BUY candidate,28.3133,5,15,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,450140,코오롱모빌리티그룹,KOSPI,2960,BUY candidate,27.8618,5,16,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,366030,공구우먼,KOSDAQ,4880,BUY candidate,27.7487,5,17,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,460930,현대힘스,KOSDAQ,18490,BUY candidate,27.3416,5,18,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,014160,대영포장,KOSPI,1432,BUY candidate,26.1674,5,19,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,226400,오스테오닉,KOSDAQ,8320,BUY candidate,25.8699,5,20,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,178780,일월지엠엘,KOSDAQ,3325,SELL candidate,-61.5607,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,062970,한국첨단소재,KOSDAQ,5790,SELL candidate,-35.7381,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,206400,베노티앤알,KOSDAQ,1872,SELL candidate,-35.2249,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,012170,아센디오,KOSPI,271,SELL candidate,-33.2512,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,101140,인바이오젠,KOSPI,6690,SELL candidate,-28.3726,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,060240,스타코링크,KOSDAQ,540,SELL candidate,-28.1915,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,208710,바이오로그디바이스,KOSDAQ,720,SELL candidate,-23.4043,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,113810,디젠스,KOSDAQ,1463,SELL candidate,-22.4284,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
