code,name,market,security_type,status,reason
049830,승일,KOSDAQ,보통주,exclude,managed_issue_current
051905,LG생활건강우,KOSPI,구형우선주,exclude,instrument_type_excluded
051915,LG화학우,KOSPI,구형우선주,exclude,instrument_type_excluded
052770,아이톡시,KOSDAQ,보통주,exclude,managed_issue_current
052960,태양3C,KONEX,보통주,exclude,market_not_allowed
054180,메디콕스,KOSDAQ,보통주,exclude,managed_issue_current
059180,엔더블유시,KONEX,보통주,exclude,market_not_allowed
060240,스타코링크,KOSDAQ,보통주,exclude,managed_issue_current
064090,인크레더블버즈,KOSDAQ,보통주,exclude,managed_issue_current
065150,대산F&B,KOSDAQ,보통주,exclude,managed_issue_current
065570,삼영이엔씨,KOSDAQ,보통주,exclude,managed_issue_current
066410,버킷스튜디오,KOSDAQ,보통주,exclude,managed_issue_current
066575,LG전자우,KOSPI,구형우선주,exclude,instrument_type_excluded
066790,씨씨에스,KOSDAQ,보통주,exclude,managed_issue_current
066830,제노텍,KONEX,보통주,exclude,market_not_allowed
066900,디에이피,KOSDAQ,보통주,exclude,managed_issue_current
068240,다원시스,KOSDAQ,보통주,exclude,managed_issue_current
068940,셀피글로벌,KOSDAQ,보통주,exclude,managed_issue_current
069460,대호에이엘,KOSPI,보통주,exclude,managed_issue_current
071055,한국금융지주우,KOSPI,구형우선주,exclude,instrument_type_excluded
071950,코아스,KOSPI,보통주,exclude,managed_issue_current
073570,리튬포어스,KOSDAQ,보통주,exclude,managed_issue_current
073640,테라사이언스,KOSDAQ,보통주,exclude,managed_issue_current
076340,지에이이노더스,KONEX,보통주,exclude,market_not_allowed
078935,GS우,KOSPI,구형우선주,exclude,instrument_type_excluded
079950,인베니아,KOSDAQ,보통주,exclude,managed_issue_current
079970,투비소프트,KOSDAQ,보통주,exclude,managed_issue_current
080720,한국유니온제약,KOSDAQ,보통주,exclude,managed_issue_current
082660,코스나인,KOSDAQ,보통주,exclude,managed_issue_current
084695,대상홀딩스우,KOSPI,구형우선주,exclude,instrument_type_excluded
086220,광동헬스바이오,KONEX,보통주,exclude,market_not_allowed
088260,이리츠코크렙,KOSPI,보통주,exclude,instrument_name_excluded
088290,이원컴포텍,KOSDAQ,보통주,exclude,managed_issue_current
