date,code,stock_name,market,target_side,target_weight,rank_in_portfolio,source_signal_state,source_rank_in_date_state,source_roc_pct,source_strategy,source_signal_mode,portfolio_mode,target_mode,order_intent_generated
2025-02-06,010100,한국무브넥스,KOSPI,LONG,0.050000,2,BUY candidate,2,127.0607,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,351320,에스에이티이엔지,KOSDAQ,LONG,0.050000,3,BUY candidate,3,112.1673,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,098460,고영,KOSDAQ,LONG,0.050000,4,BUY candidate,4,100.2281,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,161580,필옵틱스,KOSDAQ,LONG,0.050000,5,BUY candidate,5,87.2861,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,332570,와이팜,KOSDAQ,LONG,0.050000,6,BUY candidate,6,86.1702,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,112290,와이씨켐,KOSDAQ,LONG,0.050000,7,BUY candidate,7,78.4440,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,382150,온코크로스,KOSDAQ,LONG,0.050000,8,BUY candidate,8,73.5724,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,168360,펨트론,KOSDAQ,LONG,0.050000,9,BUY candidate,9,70.9402,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,301300,바이브컴퍼니,KOSDAQ,LONG,0.050000,10,BUY candidate,10,70.0375,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,042660,한화오션,KOSPI,LONG,0.050000,11,BUY candidate,11,65.1941,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,434480,모니터랩,KOSDAQ,LONG,0.050000,12,BUY candidate,12,61.9883,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,119850,지엔씨에너지,KOSDAQ,LONG,0.050000,13,BUY candidate,13,61.1809,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,277810,레인보우로보틱스,KOSDAQ,LONG,0.050000,14,BUY candidate,14,60.7296,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,219550,디와이디,KOSDAQ,LONG,0.050000,15,BUY candidate,15,60.3261,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
